"","estimate","pt","pr","covariate.set","n","m"
"121",5.73070284791477,0.1,0.5,"Extended",150,1000
"122",5.92628981158366,0.1,0.5,"Minimal",150,1000
"123",7.37802250154572,0.1,0.25,"Extended",150,1000
"124",6.99050816728125,0.1,0.25,"Minimal",150,1000
"125",6.83295630863401,0.1,0.5,"Extended",150,1000
"126",7.05751127178177,0.1,0.5,"Minimal",150,1000
"127",5.67191102876177,0.1,0.25,"Extended",150,1000
"128",5.82436589423168,0.1,0.25,"Minimal",150,1000
"129",6.65111176635774,0.1,0.5,"Extended",150,1000
"130",6.16054893631626,0.1,0.5,"Minimal",150,1000
"131",5.67227664397478,0.1,0.25,"Extended",150,1000
"132",5.70933440108696,0.1,0.25,"Minimal",150,1000
"133",6.36191260333651,0.1,0.5,"Extended",150,1000
"134",6.67107180193233,0.1,0.5,"Minimal",150,1000
"135",6.05608501417721,0.1,0.25,"Extended",150,1000
"136",6.00065363593043,0.1,0.25,"Minimal",150,1000
"137",4.9745460594487,0.1,0.5,"Extended",150,1000
"138",5.63185231400009,0.1,0.5,"Minimal",150,1000
"139",7.1010346506714,0.1,0.25,"Extended",150,1000
"140",7.02277909727546,0.1,0.25,"Minimal",150,1000
"141",7.08065307674267,0.1,0.5,"Extended",150,1000
"142",6.92289208745815,0.1,0.5,"Minimal",150,1000
"143",6.19913641926723,0.1,0.25,"Extended",150,1000
"144",6.2987373618086,0.1,0.25,"Minimal",150,1000
"145",6.36787468373048,0.1,0.5,"Extended",150,1000
"146",6.41004505792133,0.1,0.5,"Minimal",150,1000
"147",6.51793806445983,0.1,0.25,"Extended",150,1000
"148",6.20367796160546,0.1,0.25,"Minimal",150,1000
"149",5.23817617836634,0.1,0.5,"Extended",150,1000
"150",5.5051596381569,0.1,0.5,"Minimal",150,1000
"151",5.96776971487919,0.1,0.25,"Extended",150,1000
"152",5.96480858128006,0.1,0.25,"Minimal",150,1000
"153",6.97830028574754,0.1,0.5,"Extended",150,1000
"154",7.24980125881251,0.1,0.5,"Minimal",150,1000
"155",5.47223698054975,0.1,0.25,"Extended",150,1000
"156",5.61738246005952,0.1,0.25,"Minimal",150,1000
"157",5.66505986831493,0.1,0.5,"Extended",150,1000
"158",6.02227243388106,0.1,0.5,"Minimal",150,1000
"159",7.72654329985212,0.1,0.25,"Extended",150,1000
"160",7.80003961227349,0.1,0.25,"Minimal",150,1000
"161",5.51990221350437,0.1,0.5,"Extended",150,1000
"162",5.45341648316953,0.1,0.5,"Minimal",150,1000
"163",6.35867582286208,0.1,0.25,"Extended",150,1000
"164",6.04981527494402,0.1,0.25,"Minimal",150,1000
"165",6.66452071878512,0.1,0.5,"Extended",150,1000
"166",6.01691365885131,0.1,0.5,"Minimal",150,1000
"167",7.14129070748258,0.1,0.25,"Extended",150,1000
"168",6.55860068213075,0.1,0.25,"Minimal",150,1000
"169",6.07780163287103,0.1,0.5,"Extended",150,1000
"170",6.37507919671953,0.1,0.5,"Minimal",150,1000
"171",7.24980132407279,0.1,0.25,"Extended",150,1000
"172",7.15306209530431,0.1,0.25,"Minimal",150,1000
"173",6.571232946835,0.1,0.5,"Extended",150,1000
"174",7.09080489262487,0.1,0.5,"Minimal",150,1000
"175",5.74204344869964,0.1,0.25,"Extended",150,1000
"176",5.64523308260282,0.1,0.25,"Minimal",150,1000
"177",6.71578574332929,0.1,0.5,"Extended",150,1000
"178",6.27468680191688,0.1,0.5,"Minimal",150,1000
"179",6.4168016858254,0.1,0.25,"Extended",150,1000
"180",6.19562170045485,0.1,0.25,"Minimal",150,1000
"181",6.48499033050893,0.1,0.5,"Extended",150,1000
"182",6.23949844383293,0.1,0.5,"Minimal",150,1000
"183",6.37161256853904,0.1,0.25,"Extended",150,1000
"184",6.04433343995443,0.1,0.25,"Minimal",150,1000
"185",6.03956775616167,0.1,0.5,"Extended",150,1000
"186",5.89064910949537,0.1,0.5,"Minimal",150,1000
"187",7.13550589512117,0.1,0.25,"Extended",150,1000
"188",7.15031958461492,0.1,0.25,"Minimal",150,1000
"189",6.32611714091783,0.1,0.5,"Extended",150,1000
"190",7.02838321471929,0.1,0.5,"Minimal",150,1000
"191",7.17318880881284,0.1,0.25,"Extended",150,1000
"192",7.12803824729942,0.1,0.25,"Minimal",150,1000
"193",5.11621171691913,0.1,0.5,"Extended",150,1000
"194",5.98343587310469,0.1,0.5,"Minimal",150,1000
"195",6.36586224463123,0.1,0.25,"Extended",150,1000
"196",6.52315505414545,0.1,0.25,"Minimal",150,1000
"197",5.01430692941037,0.1,0.5,"Extended",150,1000
"198",6.06305452673133,0.1,0.5,"Minimal",150,1000
"199",5.41547901647189,0.1,0.25,"Extended",150,1000
"200",5.61410832418694,0.1,0.25,"Minimal",150,1000
"201",7.13801918894243,0.1,0.5,"Extended",150,1000
"202",6.50513713030248,0.1,0.5,"Minimal",150,1000
"203",6.3069223294827,0.1,0.25,"Extended",150,1000
"204",6.42297197390484,0.1,0.25,"Minimal",150,1000
"205",5.24939710912694,0.1,0.5,"Extended",150,1000
